destination_id,weather_risk_score,temperature_2m,precipitation,rain,wind_speed_10m,relative_humidity_2m,weather_status_short,collection_time
phong_nha,38.52,33.9,0.0,0.0,13.5,59,Ổn định,21/05/2026 14:38
hue,10.35,28.5,1.1,0.1,1.0,87,Ổn định,21/05/2026 14:38
ba_na,12.88,21.1,0.1,0.0,1.1,94,Ổn định,21/05/2026 14:38
ha_giang,19.0,31.7,0.1,0.1,10.0,65,Ổn định,21/05/2026 14:38
mai_chau,15.44,27.2,0.1,0.1,2.1,95,Ổn định,21/05/2026 14:38
sa_pa,4.05,24.7,0.0,0.0,3.0,68,Ổn định,21/05/2026 14:38
moc_chau,14.73,24.5,0.2,0.1,3.8,92,Ổn định,21/05/2026 14:38
tam_dao,26.73,21.6,0.3,0.1,7.8,97,Ổn định,21/05/2026 14:38
pleiku,25.43,26.0,0.3,0.0,17.5,79,Ổn định,21/05/2026 14:38
da_lat,23.46,21.0,0.5,0.3,11.6,89,Ổn định,21/05/2026 14:38
buon_ma_thuot,16.61,25.2,0.4,0.4,4.3,92,Ổn định,21/05/2026 14:38
ho_chi_minh_city,15.71,31.5,0.1,0.1,8.6,66,Ổn định,21/05/2026 14:38
an_giang,20.82,27.4,0.2,0.2,9.2,91,Ổn định,21/05/2026 14:38
chau_doc,18.79,28.0,0.1,0.1,11.7,87,Ổn định,21/05/2026 14:38
ben_tre,9.99,30.2,0.0,0.0,7.4,77,Ổn định,21/05/2026 14:38
can_tho,16.34,30.4,0.0,0.0,12.1,74,Ổn định,21/05/2026 14:38
ba_vi,24.59,24.5,0.3,0.3,7.1,96,Ổn định,21/05/2026 14:38
ha_noi,31.58,28.5,1.5,0.1,10.5,92,Ổn định,21/05/2026 14:38
ninh_binh,13.95,29.5,0.1,0.0,9.0,86,Ổn định,21/05/2026 14:38
thien_cam,42.16,32.8,0.0,0.0,21.9,65,Ổn định,21/05/2026 14:38
cua_lo,18.83,32.9,0.0,0.0,4.1,68,Ổn định,21/05/2026 14:38
nhat_le,25.02,31.5,0.1,0.1,15.5,69,Ổn định,21/05/2026 14:38
cua_tung,17.54,29.0,0.1,0.1,8.1,90,Ổn định,21/05/2026 14:38
hai_tien,17.42,30.1,0.0,0.0,12.9,82,Ổn định,21/05/2026 14:38
