province,latitude,longitude,source_status,collected_at,note
Thai Nguyen,21.5672,105.8252,request_failed,2026-05-17T19:37:51.489745+00:00,"failed to request 'https://archive-api.open-meteo.com/v1/archive': {'error': True, 'reason': 'Hourly API request limit exceeded. Please try again in the next hour.'}"
Thanh Hoa,19.8067,105.7852,request_failed,2026-05-17T19:37:51.489750+00:00,"failed to request 'https://archive-api.open-meteo.com/v1/archive': {'error': True, 'reason': 'Hourly API request limit exceeded. Please try again in the next hour.'}"
Thua Thien Hue,16.4637,107.5909,request_failed,2026-05-17T19:37:51.489755+00:00,"failed to request 'https://archive-api.open-meteo.com/v1/archive': {'error': True, 'reason': 'Hourly API request limit exceeded. Please try again in the next hour.'}"
Tien Giang,10.4493,106.3421,request_failed,2026-05-17T19:37:51.489759+00:00,"failed to request 'https://archive-api.open-meteo.com/v1/archive': {'error': True, 'reason': 'Hourly API request limit exceeded. Please try again in the next hour.'}"
Ho Chi Minh City,10.8231,106.6297,request_failed,2026-05-17T19:37:51.489763+00:00,"failed to request 'https://archive-api.open-meteo.com/v1/archive': {'error': True, 'reason': 'Hourly API request limit exceeded. Please try again in the next hour.'}"
Tra Vinh,9.9347,106.3453,request_failed,2026-05-17T19:37:51.489767+00:00,"failed to request 'https://archive-api.open-meteo.com/v1/archive': {'error': True, 'reason': 'Hourly API request limit exceeded. Please try again in the next hour.'}"
Tuyen Quang,21.7767,105.228,request_failed,2026-05-17T19:37:51.489772+00:00,"failed to request 'https://archive-api.open-meteo.com/v1/archive': {'error': True, 'reason': 'Hourly API request limit exceeded. Please try again in the next hour.'}"
Vinh Long,10.2537,105.9722,request_failed,2026-05-17T19:39:01.669713+00:00,"failed to request 'https://archive-api.open-meteo.com/v1/archive': {'error': True, 'reason': 'Hourly API request limit exceeded. Please try again in the next hour.'}"
Vinh Phuc,21.3089,105.6049,request_failed,2026-05-17T19:39:01.669728+00:00,"failed to request 'https://archive-api.open-meteo.com/v1/archive': {'error': True, 'reason': 'Hourly API request limit exceeded. Please try again in the next hour.'}"
Yen Bai,21.7168,104.8986,request_failed,2026-05-17T19:39:01.669732+00:00,"failed to request 'https://archive-api.open-meteo.com/v1/archive': {'error': True, 'reason': 'Hourly API request limit exceeded. Please try again in the next hour.'}"
