destination_id,destination_name,lat,lng,collection_time,source_name,source_url,update_frequency,license_note,collection_method,temperature_2m,relative_humidity_2m,precipitation,rain,weather_code,wind_speed_10m,uv_index_max_3d,weather_risk_score,risk_method,quality_score,freshness_score,reliability_score,coverage_score,limitation
vung_tau,Vung Tau,10.4114,107.1362,2026-05-19T16:08:37.991024+00:00,Open-Meteo Forecast API,https://api.open-meteo.com/v1/forecast?latitude=16.0471%2C15.8801%2C16.4637%2C13.7563%2C12.2388%2C10.2899%2C20.9712%2C20.7278%2C19.7419%2C18.7929%2C10.4114%2C10.9333%2C21.0278%2C10.8231%2C22.8233%2C20.8297%2C22.3364%2C11.9404%2C8.6864%2C15.3833%2C10.0452%2C10.5216%2C10.2434%2C20.2506&longitude=108.2068%2C108.338%2C107.5909%2C109.2297%2C109.1967%2C103.984%2C107.0448%2C107.0482%2C105.902%2C105.722%2C107.1362%2C108.2833%2C105.8342%2C106.6297%2C104.9836%2C104.6946%2C103.8438%2C108.4583%2C106.6082%2C109.1167%2C105.7469%2C105.1259%2C106.3756%2C105.9745&current=temperature_2m%2Crelative_humidity_2m%2Cprecipitation%2Crain%2Cweather_code%2Cwind_speed_10m&daily=temperature_2m_max%2Cprecipitation_sum%2Crain_sum%2Cwind_speed_10m_max%2Cuv_index_max&timezone=Asia%2FHo_Chi_Minh&forecast_days=3,on_demand_mvp,Open-Meteo public API; attribution required.,forecast endpoint by destination coordinate,28.5,83,0.0,0.0,3,7.9,8.65,48.82,"min(100, precipitation*8 + rain*8 + wind*1.8 + uv*4 + severe_weather_code_bonus)",86,90,85,90,Weather risk is not marine risk; wave height/current/storm warning not included.
mui_ne,Mui Ne,10.9333,108.2833,2026-05-19T16:08:37.991055+00:00,Open-Meteo Forecast API,https://api.open-meteo.com/v1/forecast?latitude=16.0471%2C15.8801%2C16.4637%2C13.7563%2C12.2388%2C10.2899%2C20.9712%2C20.7278%2C19.7419%2C18.7929%2C10.4114%2C10.9333%2C21.0278%2C10.8231%2C22.8233%2C20.8297%2C22.3364%2C11.9404%2C8.6864%2C15.3833%2C10.0452%2C10.5216%2C10.2434%2C20.2506&longitude=108.2068%2C108.338%2C107.5909%2C109.2297%2C109.1967%2C103.984%2C107.0448%2C107.0482%2C105.902%2C105.722%2C107.1362%2C108.2833%2C105.8342%2C106.6297%2C104.9836%2C104.6946%2C103.8438%2C108.4583%2C106.6082%2C109.1167%2C105.7469%2C105.1259%2C106.3756%2C105.9745&current=temperature_2m%2Crelative_humidity_2m%2Cprecipitation%2Crain%2Cweather_code%2Cwind_speed_10m&daily=temperature_2m_max%2Cprecipitation_sum%2Crain_sum%2Cwind_speed_10m_max%2Cuv_index_max&timezone=Asia%2FHo_Chi_Minh&forecast_days=3,on_demand_mvp,Open-Meteo public API; attribution required.,forecast endpoint by destination coordinate,27.1,93,0.1,0.1,51,6.7,9.0,49.66,"min(100, precipitation*8 + rain*8 + wind*1.8 + uv*4 + severe_weather_code_bonus)",86,90,85,90,Weather risk is not marine risk; wave height/current/storm warning not included.
ha_noi,Ha Noi,21.0278,105.8342,2026-05-19T16:08:37.991085+00:00,Open-Meteo Forecast API,https://api.open-meteo.com/v1/forecast?latitude=16.0471%2C15.8801%2C16.4637%2C13.7563%2C12.2388%2C10.2899%2C20.9712%2C20.7278%2C19.7419%2C18.7929%2C10.4114%2C10.9333%2C21.0278%2C10.8231%2C22.8233%2C20.8297%2C22.3364%2C11.9404%2C8.6864%2C15.3833%2C10.0452%2C10.5216%2C10.2434%2C20.2506&longitude=108.2068%2C108.338%2C107.5909%2C109.2297%2C109.1967%2C103.984%2C107.0448%2C107.0482%2C105.902%2C105.722%2C107.1362%2C108.2833%2C105.8342%2C106.6297%2C104.9836%2C104.6946%2C103.8438%2C108.4583%2C106.6082%2C109.1167%2C105.7469%2C105.1259%2C106.3756%2C105.9745&current=temperature_2m%2Crelative_humidity_2m%2Cprecipitation%2Crain%2Cweather_code%2Cwind_speed_10m&daily=temperature_2m_max%2Cprecipitation_sum%2Crain_sum%2Cwind_speed_10m_max%2Cuv_index_max&timezone=Asia%2FHo_Chi_Minh&forecast_days=3,on_demand_mvp,Open-Meteo public API; attribution required.,forecast endpoint by destination coordinate,27.5,94,0.0,0.0,95,12.2,7.65,77.56,"min(100, precipitation*8 + rain*8 + wind*1.8 + uv*4 + severe_weather_code_bonus)",86,90,85,90,Weather risk is not marine risk; wave height/current/storm warning not included.
ho_chi_minh_city,Ho Chi Minh City,10.8231,106.6297,2026-05-19T16:08:37.991115+00:00,Open-Meteo Forecast API,https://api.open-meteo.com/v1/forecast?latitude=16.0471%2C15.8801%2C16.4637%2C13.7563%2C12.2388%2C10.2899%2C20.9712%2C20.7278%2C19.7419%2C18.7929%2C10.4114%2C10.9333%2C21.0278%2C10.8231%2C22.8233%2C20.8297%2C22.3364%2C11.9404%2C8.6864%2C15.3833%2C10.0452%2C10.5216%2C10.2434%2C20.2506&longitude=108.2068%2C108.338%2C107.5909%2C109.2297%2C109.1967%2C103.984%2C107.0448%2C107.0482%2C105.902%2C105.722%2C107.1362%2C108.2833%2C105.8342%2C106.6297%2C104.9836%2C104.6946%2C103.8438%2C108.4583%2C106.6082%2C109.1167%2C105.7469%2C105.1259%2C106.3756%2C105.9745&current=temperature_2m%2Crelative_humidity_2m%2Cprecipitation%2Crain%2Cweather_code%2Cwind_speed_10m&daily=temperature_2m_max%2Cprecipitation_sum%2Crain_sum%2Cwind_speed_10m_max%2Cuv_index_max&timezone=Asia%2FHo_Chi_Minh&forecast_days=3,on_demand_mvp,Open-Meteo public API; attribution required.,forecast endpoint by destination coordinate,27.5,91,0.0,0.0,3,6.5,8.85,47.1,"min(100, precipitation*8 + rain*8 + wind*1.8 + uv*4 + severe_weather_code_bonus)",86,90,85,90,Weather risk is not marine risk; wave height/current/storm warning not included.
ha_giang,Ha Giang,22.8233,104.9836,2026-05-19T16:08:37.991145+00:00,Open-Meteo Forecast API,https://api.open-meteo.com/v1/forecast?latitude=16.0471%2C15.8801%2C16.4637%2C13.7563%2C12.2388%2C10.2899%2C20.9712%2C20.7278%2C19.7419%2C18.7929%2C10.4114%2C10.9333%2C21.0278%2C10.8231%2C22.8233%2C20.8297%2C22.3364%2C11.9404%2C8.6864%2C15.3833%2C10.0452%2C10.5216%2C10.2434%2C20.2506&longitude=108.2068%2C108.338%2C107.5909%2C109.2297%2C109.1967%2C103.984%2C107.0448%2C107.0482%2C105.902%2C105.722%2C107.1362%2C108.2833%2C105.8342%2C106.6297%2C104.9836%2C104.6946%2C103.8438%2C108.4583%2C106.6082%2C109.1167%2C105.7469%2C105.1259%2C106.3756%2C105.9745&current=temperature_2m%2Crelative_humidity_2m%2Cprecipitation%2Crain%2Cweather_code%2Cwind_speed_10m&daily=temperature_2m_max%2Cprecipitation_sum%2Crain_sum%2Cwind_speed_10m_max%2Cuv_index_max&timezone=Asia%2FHo_Chi_Minh&forecast_days=3,on_demand_mvp,Open-Meteo public API; attribution required.,forecast endpoint by destination coordinate,24.9,97,0.6,0.2,80,3.1,8.7,71.78,"min(100, precipitation*8 + rain*8 + wind*1.8 + uv*4 + severe_weather_code_bonus)",86,90,85,90,Weather risk is not marine risk; wave height/current/storm warning not included.
moc_chau,Moc Chau,20.8297,104.6946,2026-05-19T16:08:37.991174+00:00,Open-Meteo Forecast API,https://api.open-meteo.com/v1/forecast?latitude=16.0471%2C15.8801%2C16.4637%2C13.7563%2C12.2388%2C10.2899%2C20.9712%2C20.7278%2C19.7419%2C18.7929%2C10.4114%2C10.9333%2C21.0278%2C10.8231%2C22.8233%2C20.8297%2C22.3364%2C11.9404%2C8.6864%2C15.3833%2C10.0452%2C10.5216%2C10.2434%2C20.2506&longitude=108.2068%2C108.338%2C107.5909%2C109.2297%2C109.1967%2C103.984%2C107.0448%2C107.0482%2C105.902%2C105.722%2C107.1362%2C108.2833%2C105.8342%2C106.6297%2C104.9836%2C104.6946%2C103.8438%2C108.4583%2C106.6082%2C109.1167%2C105.7469%2C105.1259%2C106.3756%2C105.9745&current=temperature_2m%2Crelative_humidity_2m%2Cprecipitation%2Crain%2Cweather_code%2Cwind_speed_10m&daily=temperature_2m_max%2Cprecipitation_sum%2Crain_sum%2Cwind_speed_10m_max%2Cuv_index_max&timezone=Asia%2FHo_Chi_Minh&forecast_days=3,on_demand_mvp,Open-Meteo public API; attribution required.,forecast endpoint by destination coordinate,22.4,97,0.0,0.0,2,5.9,8.85,46.02,"min(100, precipitation*8 + rain*8 + wind*1.8 + uv*4 + severe_weather_code_bonus)",86,90,85,90,Weather risk is not marine risk; wave height/current/storm warning not included.
sa_pa,Sa Pa,22.3364,103.8438,2026-05-19T16:08:37.991203+00:00,Open-Meteo Forecast API,https://api.open-meteo.com/v1/forecast?latitude=16.0471%2C15.8801%2C16.4637%2C13.7563%2C12.2388%2C10.2899%2C20.9712%2C20.7278%2C19.7419%2C18.7929%2C10.4114%2C10.9333%2C21.0278%2C10.8231%2C22.8233%2C20.8297%2C22.3364%2C11.9404%2C8.6864%2C15.3833%2C10.0452%2C10.5216%2C10.2434%2C20.2506&longitude=108.2068%2C108.338%2C107.5909%2C109.2297%2C109.1967%2C103.984%2C107.0448%2C107.0482%2C105.902%2C105.722%2C107.1362%2C108.2833%2C105.8342%2C106.6297%2C104.9836%2C104.6946%2C103.8438%2C108.4583%2C106.6082%2C109.1167%2C105.7469%2C105.1259%2C106.3756%2C105.9745&current=temperature_2m%2Crelative_humidity_2m%2Cprecipitation%2Crain%2Cweather_code%2Cwind_speed_10m&daily=temperature_2m_max%2Cprecipitation_sum%2Crain_sum%2Cwind_speed_10m_max%2Cuv_index_max&timezone=Asia%2FHo_Chi_Minh&forecast_days=3,on_demand_mvp,Open-Meteo public API; attribution required.,forecast endpoint by destination coordinate,18.4,99,0.2,0.2,53,7.0,8.75,50.8,"min(100, precipitation*8 + rain*8 + wind*1.8 + uv*4 + severe_weather_code_bonus)",86,90,85,90,Weather risk is not marine risk; wave height/current/storm warning not included.
da_lat,Da Lat,11.9404,108.4583,2026-05-19T16:08:37.991235+00:00,Open-Meteo Forecast API,https://api.open-meteo.com/v1/forecast?latitude=16.0471%2C15.8801%2C16.4637%2C13.7563%2C12.2388%2C10.2899%2C20.9712%2C20.7278%2C19.7419%2C18.7929%2C10.4114%2C10.9333%2C21.0278%2C10.8231%2C22.8233%2C20.8297%2C22.3364%2C11.9404%2C8.6864%2C15.3833%2C10.0452%2C10.5216%2C10.2434%2C20.2506&longitude=108.2068%2C108.338%2C107.5909%2C109.2297%2C109.1967%2C103.984%2C107.0448%2C107.0482%2C105.902%2C105.722%2C107.1362%2C108.2833%2C105.8342%2C106.6297%2C104.9836%2C104.6946%2C103.8438%2C108.4583%2C106.6082%2C109.1167%2C105.7469%2C105.1259%2C106.3756%2C105.9745&current=temperature_2m%2Crelative_humidity_2m%2Cprecipitation%2Crain%2Cweather_code%2Cwind_speed_10m&daily=temperature_2m_max%2Cprecipitation_sum%2Crain_sum%2Cwind_speed_10m_max%2Cuv_index_max&timezone=Asia%2FHo_Chi_Minh&forecast_days=3,on_demand_mvp,Open-Meteo public API; attribution required.,forecast endpoint by destination coordinate,18.1,100,0.0,0.0,3,5.3,8.05,41.74,"min(100, precipitation*8 + rain*8 + wind*1.8 + uv*4 + severe_weather_code_bonus)",86,90,85,90,Weather risk is not marine risk; wave height/current/storm warning not included.
con_dao,Con Dao,8.6864,106.6082,2026-05-19T16:08:37.991275+00:00,Open-Meteo Forecast API,https://api.open-meteo.com/v1/forecast?latitude=16.0471%2C15.8801%2C16.4637%2C13.7563%2C12.2388%2C10.2899%2C20.9712%2C20.7278%2C19.7419%2C18.7929%2C10.4114%2C10.9333%2C21.0278%2C10.8231%2C22.8233%2C20.8297%2C22.3364%2C11.9404%2C8.6864%2C15.3833%2C10.0452%2C10.5216%2C10.2434%2C20.2506&longitude=108.2068%2C108.338%2C107.5909%2C109.2297%2C109.1967%2C103.984%2C107.0448%2C107.0482%2C105.902%2C105.722%2C107.1362%2C108.2833%2C105.8342%2C106.6297%2C104.9836%2C104.6946%2C103.8438%2C108.4583%2C106.6082%2C109.1167%2C105.7469%2C105.1259%2C106.3756%2C105.9745&current=temperature_2m%2Crelative_humidity_2m%2Cprecipitation%2Crain%2Cweather_code%2Cwind_speed_10m&daily=temperature_2m_max%2Cprecipitation_sum%2Crain_sum%2Cwind_speed_10m_max%2Cuv_index_max&timezone=Asia%2FHo_Chi_Minh&forecast_days=3,on_demand_mvp,Open-Meteo public API; attribution required.,forecast endpoint by destination coordinate,29.4,76,0.0,0.0,3,16.9,8.8,65.62,"min(100, precipitation*8 + rain*8 + wind*1.8 + uv*4 + severe_weather_code_bonus)",86,90,85,90,Weather risk is not marine risk; wave height/current/storm warning not included.
ly_son,Ly Son,15.3833,109.1167,2026-05-19T16:08:37.991309+00:00,Open-Meteo Forecast API,https://api.open-meteo.com/v1/forecast?latitude=16.0471%2C15.8801%2C16.4637%2C13.7563%2C12.2388%2C10.2899%2C20.9712%2C20.7278%2C19.7419%2C18.7929%2C10.4114%2C10.9333%2C21.0278%2C10.8231%2C22.8233%2C20.8297%2C22.3364%2C11.9404%2C8.6864%2C15.3833%2C10.0452%2C10.5216%2C10.2434%2C20.2506&longitude=108.2068%2C108.338%2C107.5909%2C109.2297%2C109.1967%2C103.984%2C107.0448%2C107.0482%2C105.902%2C105.722%2C107.1362%2C108.2833%2C105.8342%2C106.6297%2C104.9836%2C104.6946%2C103.8438%2C108.4583%2C106.6082%2C109.1167%2C105.7469%2C105.1259%2C106.3756%2C105.9745&current=temperature_2m%2Crelative_humidity_2m%2Cprecipitation%2Crain%2Cweather_code%2Cwind_speed_10m&daily=temperature_2m_max%2Cprecipitation_sum%2Crain_sum%2Cwind_speed_10m_max%2Cuv_index_max&timezone=Asia%2FHo_Chi_Minh&forecast_days=3,on_demand_mvp,Open-Meteo public API; attribution required.,forecast endpoint by destination coordinate,28.1,85,0.0,0.0,3,27.0,8.75,83.6,"min(100, precipitation*8 + rain*8 + wind*1.8 + uv*4 + severe_weather_code_bonus)",86,90,85,90,Weather risk is not marine risk; wave height/current/storm warning not included.
can_tho,Can Tho,10.0452,105.7469,2026-05-19T16:08:37.991339+00:00,Open-Meteo Forecast API,https://api.open-meteo.com/v1/forecast?latitude=16.0471%2C15.8801%2C16.4637%2C13.7563%2C12.2388%2C10.2899%2C20.9712%2C20.7278%2C19.7419%2C18.7929%2C10.4114%2C10.9333%2C21.0278%2C10.8231%2C22.8233%2C20.8297%2C22.3364%2C11.9404%2C8.6864%2C15.3833%2C10.0452%2C10.5216%2C10.2434%2C20.2506&longitude=108.2068%2C108.338%2C107.5909%2C109.2297%2C109.1967%2C103.984%2C107.0448%2C107.0482%2C105.902%2C105.722%2C107.1362%2C108.2833%2C105.8342%2C106.6297%2C104.9836%2C104.6946%2C103.8438%2C108.4583%2C106.6082%2C109.1167%2C105.7469%2C105.1259%2C106.3756%2C105.9745&current=temperature_2m%2Crelative_humidity_2m%2Cprecipitation%2Crain%2Cweather_code%2Cwind_speed_10m&daily=temperature_2m_max%2Cprecipitation_sum%2Crain_sum%2Cwind_speed_10m_max%2Cuv_index_max&timezone=Asia%2FHo_Chi_Minh&forecast_days=3,on_demand_mvp,Open-Meteo public API; attribution required.,forecast endpoint by destination coordinate,27.0,91,0.0,0.0,3,5.2,7.35,38.76,"min(100, precipitation*8 + rain*8 + wind*1.8 + uv*4 + severe_weather_code_bonus)",86,90,85,90,Weather risk is not marine risk; wave height/current/storm warning not included.
an_giang,An Giang,10.5216,105.1259,2026-05-19T16:08:37.991368+00:00,Open-Meteo Forecast API,https://api.open-meteo.com/v1/forecast?latitude=16.0471%2C15.8801%2C16.4637%2C13.7563%2C12.2388%2C10.2899%2C20.9712%2C20.7278%2C19.7419%2C18.7929%2C10.4114%2C10.9333%2C21.0278%2C10.8231%2C22.8233%2C20.8297%2C22.3364%2C11.9404%2C8.6864%2C15.3833%2C10.0452%2C10.5216%2C10.2434%2C20.2506&longitude=108.2068%2C108.338%2C107.5909%2C109.2297%2C109.1967%2C103.984%2C107.0448%2C107.0482%2C105.902%2C105.722%2C107.1362%2C108.2833%2C105.8342%2C106.6297%2C104.9836%2C104.6946%2C103.8438%2C108.4583%2C106.6082%2C109.1167%2C105.7469%2C105.1259%2C106.3756%2C105.9745&current=temperature_2m%2Crelative_humidity_2m%2Cprecipitation%2Crain%2Cweather_code%2Cwind_speed_10m&daily=temperature_2m_max%2Cprecipitation_sum%2Crain_sum%2Cwind_speed_10m_max%2Cuv_index_max&timezone=Asia%2FHo_Chi_Minh&forecast_days=3,on_demand_mvp,Open-Meteo public API; attribution required.,forecast endpoint by destination coordinate,28.0,80,0.0,0.0,3,3.1,8.7,40.38,"min(100, precipitation*8 + rain*8 + wind*1.8 + uv*4 + severe_weather_code_bonus)",86,90,85,90,Weather risk is not marine risk; wave height/current/storm warning not included.
ben_tre,Ben Tre,10.2434,106.3756,2026-05-19T16:08:37.991398+00:00,Open-Meteo Forecast API,https://api.open-meteo.com/v1/forecast?latitude=16.0471%2C15.8801%2C16.4637%2C13.7563%2C12.2388%2C10.2899%2C20.9712%2C20.7278%2C19.7419%2C18.7929%2C10.4114%2C10.9333%2C21.0278%2C10.8231%2C22.8233%2C20.8297%2C22.3364%2C11.9404%2C8.6864%2C15.3833%2C10.0452%2C10.5216%2C10.2434%2C20.2506&longitude=108.2068%2C108.338%2C107.5909%2C109.2297%2C109.1967%2C103.984%2C107.0448%2C107.0482%2C105.902%2C105.722%2C107.1362%2C108.2833%2C105.8342%2C106.6297%2C104.9836%2C104.6946%2C103.8438%2C108.4583%2C106.6082%2C109.1167%2C105.7469%2C105.1259%2C106.3756%2C105.9745&current=temperature_2m%2Crelative_humidity_2m%2Cprecipitation%2Crain%2Cweather_code%2Cwind_speed_10m&daily=temperature_2m_max%2Cprecipitation_sum%2Crain_sum%2Cwind_speed_10m_max%2Cuv_index_max&timezone=Asia%2FHo_Chi_Minh&forecast_days=3,on_demand_mvp,Open-Meteo public API; attribution required.,forecast endpoint by destination coordinate,27.4,87,0.0,0.0,3,4.9,8.55,43.02,"min(100, precipitation*8 + rain*8 + wind*1.8 + uv*4 + severe_weather_code_bonus)",86,90,85,90,Weather risk is not marine risk; wave height/current/storm warning not included.
ninh_binh,Ninh Binh,20.2506,105.9745,2026-05-19T16:08:37.991427+00:00,Open-Meteo Forecast API,https://api.open-meteo.com/v1/forecast?latitude=16.0471%2C15.8801%2C16.4637%2C13.7563%2C12.2388%2C10.2899%2C20.9712%2C20.7278%2C19.7419%2C18.7929%2C10.4114%2C10.9333%2C21.0278%2C10.8231%2C22.8233%2C20.8297%2C22.3364%2C11.9404%2C8.6864%2C15.3833%2C10.0452%2C10.5216%2C10.2434%2C20.2506&longitude=108.2068%2C108.338%2C107.5909%2C109.2297%2C109.1967%2C103.984%2C107.0448%2C107.0482%2C105.902%2C105.722%2C107.1362%2C108.2833%2C105.8342%2C106.6297%2C104.9836%2C104.6946%2C103.8438%2C108.4583%2C106.6082%2C109.1167%2C105.7469%2C105.1259%2C106.3756%2C105.9745&current=temperature_2m%2Crelative_humidity_2m%2Cprecipitation%2Crain%2Cweather_code%2Cwind_speed_10m&daily=temperature_2m_max%2Cprecipitation_sum%2Crain_sum%2Cwind_speed_10m_max%2Cuv_index_max&timezone=Asia%2FHo_Chi_Minh&forecast_days=3,on_demand_mvp,Open-Meteo public API; attribution required.,forecast endpoint by destination coordinate,28.2,91,0.0,0.0,95,14.1,8.75,85.38,"min(100, precipitation*8 + rain*8 + wind*1.8 + uv*4 + severe_weather_code_bonus)",86,90,85,90,Weather risk is not marine risk; wave height/current/storm warning not included.
