destination_id,destination_name,poi_total,attraction_poi_count,service_poi_count,poi_attractiveness_raw,poi_attractiveness_score,weather_risk_score,quality_score,freshness_score,reliability_score,coverage_score,hotel_records,review_records,hotel_price_pressure_proxy,tourist_satisfaction_proxy,destination_readiness_score,data_status,source_name,source_url,collection_time,limitation
ha_noi,Ha Noi,0,0,0,0.0,0.0,77.56,86,90,85,90,125,2,,93.5,33.92,partial_missing_poi_or_weather,OpenStreetMap/Open-Meteo/local OTA proxy,datasets/gold/poi_master.csv;datasets/gold/weather_risk_features.csv;datasets/gold/hotel_inventory_daily.csv;datasets/gold/review_sentiment.csv,2026-05-19T16:08:42.540910+00:00,"Readiness is an MVP proxy; no live crowd, occupancy, revenue or infrastructure pressure."
ho_chi_minh_city,Ho Chi Minh City,0,0,0,0.0,0.0,47.1,86,90,85,90,176,15,0.0,84.6,40.17,partial_missing_poi_or_weather,OpenStreetMap/Open-Meteo/local OTA proxy,datasets/gold/poi_master.csv;datasets/gold/weather_risk_features.csv;datasets/gold/hotel_inventory_daily.csv;datasets/gold/review_sentiment.csv,2026-05-19T16:08:42.540910+00:00,"Readiness is an MVP proxy; no live crowd, occupancy, revenue or infrastructure pressure."
ha_giang,Ha Giang,0,0,0,0.0,0.0,71.78,86,90,85,90,0,0,,,25.66,partial_missing_poi_or_weather,OpenStreetMap/Open-Meteo/local OTA proxy,datasets/gold/poi_master.csv;datasets/gold/weather_risk_features.csv;datasets/gold/hotel_inventory_daily.csv;datasets/gold/review_sentiment.csv,2026-05-19T16:08:42.540910+00:00,"Readiness is an MVP proxy; no live crowd, occupancy, revenue or infrastructure pressure."
moc_chau,Moc Chau,0,0,0,0.0,0.0,46.02,86,90,85,90,0,0,,,32.1,partial_missing_poi_or_weather,OpenStreetMap/Open-Meteo/local OTA proxy,datasets/gold/poi_master.csv;datasets/gold/weather_risk_features.csv;datasets/gold/hotel_inventory_daily.csv;datasets/gold/review_sentiment.csv,2026-05-19T16:08:42.540910+00:00,"Readiness is an MVP proxy; no live crowd, occupancy, revenue or infrastructure pressure."
sa_pa,Sa Pa,0,0,0,0.0,0.0,50.8,86,90,85,90,819,160,18.69,87.33,44.99,partial_missing_poi_or_weather,OpenStreetMap/Open-Meteo/local OTA proxy,datasets/gold/poi_master.csv;datasets/gold/weather_risk_features.csv;datasets/gold/hotel_inventory_daily.csv;datasets/gold/review_sentiment.csv,2026-05-19T16:08:42.540910+00:00,"Readiness is an MVP proxy; no live crowd, occupancy, revenue or infrastructure pressure."
da_lat,Da Lat,0,0,0,0.0,0.0,41.74,86,90,85,90,1855,462,4.8,86.29,55.42,partial_missing_poi_or_weather,OpenStreetMap/Open-Meteo/local OTA proxy,datasets/gold/poi_master.csv;datasets/gold/weather_risk_features.csv;datasets/gold/hotel_inventory_daily.csv;datasets/gold/review_sentiment.csv,2026-05-19T16:08:42.540910+00:00,"Readiness is an MVP proxy; no live crowd, occupancy, revenue or infrastructure pressure."
con_dao,Con Dao,0,0,0,0.0,0.0,65.62,86,90,85,90,250,44,12.77,87.45,36.71,partial_missing_poi_or_weather,OpenStreetMap/Open-Meteo/local OTA proxy,datasets/gold/poi_master.csv;datasets/gold/weather_risk_features.csv;datasets/gold/hotel_inventory_daily.csv;datasets/gold/review_sentiment.csv,2026-05-19T16:08:42.540910+00:00,"Readiness is an MVP proxy; no live crowd, occupancy, revenue or infrastructure pressure."
ly_son,Ly Son,0,0,0,0.0,0.0,83.6,86,90,85,90,0,0,,,22.7,partial_missing_poi_or_weather,OpenStreetMap/Open-Meteo/local OTA proxy,datasets/gold/poi_master.csv;datasets/gold/weather_risk_features.csv;datasets/gold/hotel_inventory_daily.csv;datasets/gold/review_sentiment.csv,2026-05-19T16:08:42.540910+00:00,"Readiness is an MVP proxy; no live crowd, occupancy, revenue or infrastructure pressure."
can_tho,Can Tho,0,0,0,0.0,0.0,38.76,86,90,85,90,125,0,,,34.92,partial_missing_poi_or_weather,OpenStreetMap/Open-Meteo/local OTA proxy,datasets/gold/poi_master.csv;datasets/gold/weather_risk_features.csv;datasets/gold/hotel_inventory_daily.csv;datasets/gold/review_sentiment.csv,2026-05-19T16:08:42.540910+00:00,"Readiness is an MVP proxy; no live crowd, occupancy, revenue or infrastructure pressure."
an_giang,An Giang,0,0,0,0.0,0.0,40.38,86,90,85,90,0,0,,,33.51,partial_missing_poi_or_weather,OpenStreetMap/Open-Meteo/local OTA proxy,datasets/gold/poi_master.csv;datasets/gold/weather_risk_features.csv;datasets/gold/hotel_inventory_daily.csv;datasets/gold/review_sentiment.csv,2026-05-19T16:08:42.540910+00:00,"Readiness is an MVP proxy; no live crowd, occupancy, revenue or infrastructure pressure."
ben_tre,Ben Tre,0,0,0,0.0,0.0,43.02,86,90,85,90,0,0,,,32.84,partial_missing_poi_or_weather,OpenStreetMap/Open-Meteo/local OTA proxy,datasets/gold/poi_master.csv;datasets/gold/weather_risk_features.csv;datasets/gold/hotel_inventory_daily.csv;datasets/gold/review_sentiment.csv,2026-05-19T16:08:42.540910+00:00,"Readiness is an MVP proxy; no live crowd, occupancy, revenue or infrastructure pressure."
ninh_binh,Ninh Binh,0,0,0,0.0,0.0,85.38,86,90,85,90,125,0,,,23.27,partial_missing_poi_or_weather,OpenStreetMap/Open-Meteo/local OTA proxy,datasets/gold/poi_master.csv;datasets/gold/weather_risk_features.csv;datasets/gold/hotel_inventory_daily.csv;datasets/gold/review_sentiment.csv,2026-05-19T16:08:42.540910+00:00,"Readiness is an MVP proxy; no live crowd, occupancy, revenue or infrastructure pressure."
