xep_hang,ten_diem_den,tinh_thanh,vung,muc_canh_bao,diem_ap_luc,diem_thoi_tiet,diem_ha_tang,diem_co_hoi_kinh_te,diem_dieu_phoi,du_bao_24_gio,du_bao_7_ngay,du_bao_30_ngay,nhiet_do_hien_tai,kha_nang_mua,gio,trang_thai_thoi_tiet_ngan,cap_nhat_thoi_tiet_luc,loai_du_lieu,do_tin_cay,ly_do_xep_hang,hanh_dong_de_xuat,hieu_qua_kinh_te_du_kien,cap_nhat_lan_cuoi
12,Lý Sơn,Quảng Ngãi,Đảo miền Trung,xám,47.76,83.6,22.7,18.39,35.0,58.51,43.32,33.89,28.1,0.0,27.0,Ổn định,21/05/2026 13:18,mixed_proxy_thieu_du_lieu,61.5,rủi ro thời tiết cao; hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,21/05/2026 13:18
13,Hà Nội,Hà Nội,Đồng bằng sông Hồng,xám,45.65,77.56,33.92,24.09,50.89,55.22,41.74,34.3,27.5,0.0,12.2,Ổn định,21/05/2026 13:18,mixed_proxy_thieu_du_lieu,61.5,rủi ro thời tiết cao; hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,21/05/2026 13:18
14,Hà Giang,Hà Giang,Miền núi phía Bắc,xám,43.62,71.78,25.66,20.26,35.0,52.07,40.21,32.82,24.9,0.6,3.1,Ổn định,21/05/2026 13:18,mixed_proxy_thieu_du_lieu,61.5,rủi ro thời tiết cao; hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,21/05/2026 13:18
15,Phú Quốc,Kiên Giang,Đảo Tây Nam Bộ,xám,37.76,57.28,48.71,45.72,41.8,43.62,35.5,35.28,26.6,0.1,11.6,Ổn định,21/05/2026 13:18,mixed_proxy_thieu_du_lieu,61.5,thiếu POI/nguồn kiểm định,"Theo dõi thời tiết, giá/lưu trú và sự kiện; chuẩn bị shuttle, voucher giờ thấp điểm.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,21/05/2026 13:18
16,Phong Nha - Kẻ Bàng,Quảng Bình,Bắc Trung Bộ,xám,36.0,50.0,35.0,25.05,35.0,40.2,34.5,31.11,,,,thiếu dữ liệu,21/05/2026 13:18,mixed_proxy_thieu_du_lieu,43.75,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,21/05/2026 13:18
17,Bà Nà Hills,Đà Nẵng,Duyên hải miền Trung,xám,36.0,50.0,35.0,25.05,35.0,40.2,34.5,31.11,,,,thiếu dữ liệu,21/05/2026 13:18,mixed_proxy_thieu_du_lieu,43.75,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,21/05/2026 13:18
18,Mai Châu,Hòa Bình,Miền núi phía Bắc,xám,36.0,50.0,35.0,25.05,35.0,40.2,34.5,31.11,,,,thiếu dữ liệu,21/05/2026 13:18,mixed_proxy_thieu_du_lieu,43.75,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,21/05/2026 13:18
19,Tam Đảo,Vĩnh Phúc,Trung du miền núi Bắc Bộ,xám,36.0,50.0,35.0,25.05,35.0,40.2,34.5,31.11,,,,thiếu dữ liệu,21/05/2026 13:18,mixed_proxy_thieu_du_lieu,43.75,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,21/05/2026 13:18
20,Pleiku,Gia Lai,Tây Nguyên,xám,36.0,50.0,35.0,25.05,35.0,40.2,34.5,31.11,,,,thiếu dữ liệu,21/05/2026 13:18,mixed_proxy_thieu_du_lieu,43.75,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,21/05/2026 13:18
21,Buôn Ma Thuột,Đắk Lắk,Tây Nguyên,xám,36.0,50.0,35.0,25.05,35.0,40.2,34.5,31.11,,,,thiếu dữ liệu,21/05/2026 13:18,mixed_proxy_thieu_du_lieu,43.75,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,21/05/2026 13:18
22,Châu Đốc,An Giang,Đồng bằng sông Cửu Long,xám,36.0,50.0,35.0,25.05,35.0,40.2,34.5,31.11,,,,thiếu dữ liệu,21/05/2026 13:18,mixed_proxy_thieu_du_lieu,43.75,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,21/05/2026 13:18
23,Ba Vì,Hà Nội,Đồng bằng sông Hồng,xám,36.0,50.0,35.0,25.05,35.0,40.2,34.5,31.11,,,,thiếu dữ liệu,21/05/2026 13:18,mixed_proxy_thieu_du_lieu,43.75,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,21/05/2026 13:18
24,Thiên Cầm,Hà Tĩnh,Bắc Trung Bộ,xám,36.0,50.0,35.0,25.05,35.0,40.2,34.5,31.11,,,,thiếu dữ liệu,21/05/2026 13:18,mixed_proxy_thieu_du_lieu,43.75,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,21/05/2026 13:18
25,Nhật Lệ,Quảng Bình,Bắc Trung Bộ,xám,36.0,50.0,35.0,25.05,35.0,40.2,34.5,31.11,,,,thiếu dữ liệu,21/05/2026 13:18,mixed_proxy_thieu_du_lieu,43.75,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,21/05/2026 13:18
26,Cửa Tùng,Quảng Trị,Bắc Trung Bộ,xám,36.0,50.0,35.0,25.05,35.0,40.2,34.5,31.11,,,,thiếu dữ liệu,21/05/2026 13:18,mixed_proxy_thieu_du_lieu,43.75,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,21/05/2026 13:18
27,Hải Tiến,Thanh Hóa,Bắc Trung Bộ,xám,36.0,50.0,35.0,25.05,35.0,40.2,34.5,31.11,,,,thiếu dữ liệu,21/05/2026 13:18,mixed_proxy_thieu_du_lieu,43.75,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,21/05/2026 13:18
28,Lăng Cô,Huế,Duyên hải miền Trung,xám,36.0,50.0,35.0,25.05,35.0,40.2,34.5,31.11,,,,thiếu dữ liệu,21/05/2026 13:18,mixed_proxy_thieu_du_lieu,43.75,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,21/05/2026 13:18
29,Cù Lao Chàm,Quảng Nam,Duyên hải miền Trung,xám,36.0,50.0,35.0,25.05,35.0,40.2,34.5,31.11,,,,thiếu dữ liệu,21/05/2026 13:18,mixed_proxy_thieu_du_lieu,43.75,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,21/05/2026 13:18
30,Tam Kỳ,Quảng Nam,Duyên hải miền Trung,xám,36.0,50.0,35.0,25.05,35.0,40.2,34.5,31.11,,,,thiếu dữ liệu,21/05/2026 13:18,mixed_proxy_thieu_du_lieu,43.75,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,21/05/2026 13:18
31,Sa Huỳnh,Quảng Ngãi,Duyên hải miền Trung,xám,36.0,50.0,35.0,25.05,35.0,40.2,34.5,31.11,,,,thiếu dữ liệu,21/05/2026 13:18,mixed_proxy_thieu_du_lieu,43.75,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,21/05/2026 13:18
32,Mỹ Khê,Đà Nẵng,Duyên hải miền Trung,xám,36.0,50.0,35.0,25.05,35.0,40.2,34.5,31.11,,,,thiếu dữ liệu,21/05/2026 13:18,mixed_proxy_thieu_du_lieu,43.75,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,21/05/2026 13:18
33,La Gi,Bình Thuận,Nam Trung Bộ,xám,36.0,50.0,35.0,25.05,35.0,40.2,34.5,31.11,,,,thiếu dữ liệu,21/05/2026 13:18,mixed_proxy_thieu_du_lieu,43.75,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,21/05/2026 13:18
34,Phan Thiết,Bình Thuận,Nam Trung Bộ,xám,36.0,50.0,35.0,25.05,35.0,40.2,34.5,31.11,,,,thiếu dữ liệu,21/05/2026 13:18,mixed_proxy_thieu_du_lieu,43.75,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,21/05/2026 13:18
35,Kỳ Co,Bình Định,Nam Trung Bộ,xám,36.0,50.0,35.0,25.05,35.0,40.2,34.5,31.11,,,,thiếu dữ liệu,21/05/2026 13:18,mixed_proxy_thieu_du_lieu,43.75,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,21/05/2026 13:18
36,Bình Ba,Khánh Hòa,Nam Trung Bộ,xám,36.0,50.0,35.0,25.05,35.0,40.2,34.5,31.11,,,,thiếu dữ liệu,21/05/2026 13:18,mixed_proxy_thieu_du_lieu,43.75,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,21/05/2026 13:18
37,Cam Ranh,Khánh Hòa,Nam Trung Bộ,xám,36.0,50.0,35.0,25.05,35.0,40.2,34.5,31.11,,,,thiếu dữ liệu,21/05/2026 13:18,mixed_proxy_thieu_du_lieu,43.75,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,21/05/2026 13:18
38,Phan Rang - Tháp Chàm,Ninh Thuận,Nam Trung Bộ,xám,36.0,50.0,35.0,25.05,35.0,40.2,34.5,31.11,,,,thiếu dữ liệu,21/05/2026 13:18,mixed_proxy_thieu_du_lieu,43.75,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,21/05/2026 13:18
39,Vĩnh Hy,Ninh Thuận,Nam Trung Bộ,xám,36.0,50.0,35.0,25.05,35.0,40.2,34.5,31.11,,,,thiếu dữ liệu,21/05/2026 13:18,mixed_proxy_thieu_du_lieu,43.75,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,21/05/2026 13:18
40,Gành Đá Đĩa,Phú Yên,Nam Trung Bộ,xám,36.0,50.0,35.0,25.05,35.0,40.2,34.5,31.11,,,,thiếu dữ liệu,21/05/2026 13:18,mixed_proxy_thieu_du_lieu,43.75,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,21/05/2026 13:18
41,Tuy Hòa,Phú Yên,Nam Trung Bộ,xám,36.0,50.0,35.0,25.05,35.0,40.2,34.5,31.11,,,,thiếu dữ liệu,21/05/2026 13:18,mixed_proxy_thieu_du_lieu,43.75,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,21/05/2026 13:18
42,Hà Tiên,Kiên Giang,Tây Nam Bộ,xám,36.0,50.0,35.0,25.05,35.0,40.2,34.5,31.11,,,,thiếu dữ liệu,21/05/2026 13:18,mixed_proxy_thieu_du_lieu,43.75,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,21/05/2026 13:18
43,Cô Tô,Quảng Ninh,Đông Bắc,xám,36.0,50.0,35.0,25.05,35.0,40.2,34.5,31.11,,,,thiếu dữ liệu,21/05/2026 13:18,mixed_proxy_thieu_du_lieu,43.75,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,21/05/2026 13:18
44,Trà Cổ,Quảng Ninh,Đông Bắc,xám,36.0,50.0,35.0,25.05,35.0,40.2,34.5,31.11,,,,thiếu dữ liệu,21/05/2026 13:18,mixed_proxy_thieu_du_lieu,43.75,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,21/05/2026 13:18
45,Hồ Tràm,Bà Rịa - Vũng Tàu,Đông Nam Bộ,xám,36.0,50.0,35.0,25.05,35.0,40.2,34.5,31.11,,,,thiếu dữ liệu,21/05/2026 13:18,mixed_proxy_thieu_du_lieu,43.75,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,21/05/2026 13:18
46,Cần Giờ,TP Hồ Chí Minh,Đông Nam Bộ,xám,36.0,50.0,35.0,25.05,35.0,40.2,34.5,31.11,,,,thiếu dữ liệu,21/05/2026 13:18,mixed_proxy_thieu_du_lieu,43.75,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,21/05/2026 13:18
47,Hòn Sơn,Kiên Giang,Đảo Tây Nam Bộ,xám,36.0,50.0,35.0,25.05,35.0,40.2,34.5,31.11,,,,thiếu dữ liệu,21/05/2026 13:18,mixed_proxy_thieu_du_lieu,43.75,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,21/05/2026 13:18
48,Nam Du,Kiên Giang,Đảo Tây Nam Bộ,xám,36.0,50.0,35.0,25.05,35.0,40.2,34.5,31.11,,,,thiếu dữ liệu,21/05/2026 13:18,mixed_proxy_thieu_du_lieu,43.75,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,21/05/2026 13:18
49,Bạc Liêu,Bạc Liêu,Đồng bằng sông Cửu Long,xám,36.0,50.0,35.0,25.05,35.0,40.2,34.5,31.11,,,,thiếu dữ liệu,21/05/2026 13:18,mixed_proxy_thieu_du_lieu,43.75,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,21/05/2026 13:18
