xep_hang,ten_diem_den,tinh_thanh,vung,muc_canh_bao,diem_ap_luc,diem_thoi_tiet,diem_ha_tang,diem_co_hoi_kinh_te,diem_dieu_phoi,du_bao_24_gio,du_bao_7_ngay,du_bao_30_ngay,nhiet_do_hien_tai,kha_nang_mua,gio,trang_thai_thoi_tiet_ngan,cap_nhat_thoi_tiet_luc,loai_du_lieu,do_tin_cay,ly_do_xep_hang,hanh_dong_de_xuat,hieu_qua_kinh_te_du_kien,cap_nhat_lan_cuoi
1,Hạ Long,Quảng Ninh,Đông Bắc,cam,84.73,84.1,57.9,50.88,61.76,84.54,85.08,78.59,27.4,0.0,13.5,Ổn định,21/05/2026 13:18,mixed_proxy_near_real_time,76.5,rủi ro thời tiết cao; proxy giá/lưu trú căng,"Phân luồng giao thông, tăng shuttle, chia khung giờ vào điểm nóng, tạm giảm quảng bá đại trà và đẩy khách sang điểm thay thế có hạ tầng tốt hơn.","Giảm áp lực điểm nóng, tăng chi tiêu ăn uống/vận tải/lưu trú ở điểm phụ, giảm chi phí xã hội do kẹt xe và trải nghiệm xấu.",21/05/2026 13:18
2,Cát Bà,Hải Phòng,Đông Bắc,cam,70.81,96.38,54.82,49.67,35.0,78.48,66.96,59.65,28.0,0.0,21.1,Ổn định,21/05/2026 13:18,mixed_proxy_near_real_time,76.5,rủi ro thời tiết cao,"Phân luồng giao thông, tăng shuttle, chia khung giờ vào điểm nóng, tạm giảm quảng bá đại trà và đẩy khách sang điểm thay thế có hạ tầng tốt hơn.","Giảm áp lực điểm nóng, tăng chi tiêu ăn uống/vận tải/lưu trú ở điểm phụ, giảm chi phí xã hội do kẹt xe và trải nghiệm xấu.",21/05/2026 13:18
3,Quy Nhơn,Bình Định,Nam Trung Bộ,vàng,65.71,68.32,52.49,47.38,35.0,66.49,65.1,60.95,27.7,0.0,5.4,Ổn định,21/05/2026 13:18,mixed_proxy_near_real_time,76.5,áp lực ở mức theo dõi từ dữ liệu hiện có,"Theo dõi thời tiết, giá/lưu trú và sự kiện; chuẩn bị shuttle, voucher giờ thấp điểm.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,21/05/2026 13:18
4,Đà Nẵng,Đà Nẵng,Duyên hải miền Trung,vàng,63.06,49.64,75.02,67.11,79.84,59.03,64.47,66.4,27.0,0.1,8.8,Ổn định,21/05/2026 13:18,mixed_proxy_near_real_time,76.5,áp lực ở mức theo dõi từ dữ liệu hiện có,"Theo dõi thời tiết, giá/lưu trú và sự kiện; chuẩn bị shuttle, voucher giờ thấp điểm.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,21/05/2026 13:18
5,Mũi Né,Bình Thuận,Nam Trung Bộ,vàng,60.78,49.66,58.88,52.03,35.0,57.44,61.98,61.19,27.1,0.1,6.7,Ổn định,21/05/2026 13:18,mixed_proxy_near_real_time,76.5,áp lực ở mức theo dõi từ dữ liệu hiện có,"Theo dõi thời tiết, giá/lưu trú và sự kiện; chuẩn bị shuttle, voucher giờ thấp điểm.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,21/05/2026 13:18
6,Sầm Sơn,Thanh Hóa,Bắc Trung Bộ,vàng,58.85,97.98,35.04,28.78,35.0,70.59,53.74,43.65,28.8,0.0,21.1,Ổn định,21/05/2026 13:18,mixed_proxy_near_real_time,76.5,rủi ro thời tiết cao; hạ tầng proxy yếu,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,21/05/2026 13:18
7,Hội An,Quảng Nam,Duyên hải miền Trung,vàng,52.25,41.96,81.82,78.48,72.97,49.16,53.13,59.08,27.0,0.1,5.2,Ổn định,21/05/2026 13:18,mixed_proxy_near_real_time,76.5,áp lực ở mức theo dõi từ dữ liệu hiện có,"Theo dõi thời tiết, giá/lưu trú và sự kiện; chuẩn bị shuttle, voucher giờ thấp điểm.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,21/05/2026 13:18
8,Huế,Huế,Duyên hải miền Trung,vàng,51.4,61.22,68.51,64.4,35.0,54.35,49.51,50.6,27.1,0.1,1.9,Ổn định,21/05/2026 13:18,mixed_proxy_near_real_time,76.5,áp lực ở mức theo dõi từ dữ liệu hiện có,"Theo dõi thời tiết, giá/lưu trú và sự kiện; chuẩn bị shuttle, voucher giờ thấp điểm.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,21/05/2026 13:18
9,Vũng Tàu,Bà Rịa - Vũng Tàu,Đông Nam Bộ,vàng,40.95,48.82,70.7,68.62,35.0,43.31,39.42,43.73,28.5,0.0,7.9,Ổn định,21/05/2026 13:18,mixed_proxy_near_real_time,76.5,áp lực ở mức theo dõi từ dữ liệu hiện có,"Theo dõi thời tiết, giá/lưu trú và sự kiện; chuẩn bị shuttle, voucher giờ thấp điểm.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,21/05/2026 13:18
10,Cửa Lò,Nghệ An,Bắc Trung Bộ,xanh,36.2,40.58,37.2,28.9,35.0,37.51,35.9,34.2,28.5,0.0,9.1,Ổn định,21/05/2026 13:18,mixed_proxy_near_real_time,76.5,hạ tầng proxy yếu,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,21/05/2026 13:18
11,Ninh Bình,Ninh Bình,Đồng bằng sông Hồng,xám,48.38,85.38,23.27,19.82,35.0,59.48,43.78,34.4,28.2,0.0,14.1,Ổn định,21/05/2026 13:18,mixed_proxy_thieu_du_lieu,61.5,rủi ro thời tiết cao; hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,21/05/2026 13:18
