"destination_id","ten_diem_den","tinh_thanh","vung","lat","lng","nhiet_do_hien_tai","kha_nang_mua","gio","do_am","phu_hop_di_bien","cap_nhat_luc","chan_doan_thieu_thoi_tiet"
"my_khe","Mỹ Khê","Đà Nẵng","Duyên hải miền Trung","16.0544","108.2478","","","","","Cần theo dõi","20/05/2026 17:50","Thiếu thời tiết: kiểm tra vi_do/kinh_do, geocode, Open-Meteo call và bước ghi gold/current."
"la_gi","La Gi","Bình Thuận","Nam Trung Bộ","10.6599","107.7722","","","","","Cần theo dõi","20/05/2026 17:50","Thiếu thời tiết: kiểm tra vi_do/kinh_do, geocode, Open-Meteo call và bước ghi gold/current."
"phan_thiet","Phan Thiết","Bình Thuận","Nam Trung Bộ","10.9804","108.2615","","","","","Cần theo dõi","20/05/2026 17:50","Thiếu thời tiết: kiểm tra vi_do/kinh_do, geocode, Open-Meteo call và bước ghi gold/current."
"ky_co","Kỳ Co","Bình Định","Nam Trung Bộ","13.895","109.291","","","","","Cần theo dõi","20/05/2026 17:50","Thiếu thời tiết: kiểm tra vi_do/kinh_do, geocode, Open-Meteo call và bước ghi gold/current."
"binh_ba","Bình Ba","Khánh Hòa","Nam Trung Bộ","11.8535","109.23","","","","","Cần theo dõi","20/05/2026 17:50","Thiếu thời tiết: kiểm tra vi_do/kinh_do, geocode, Open-Meteo call và bước ghi gold/current."
"cam_ranh","Cam Ranh","Khánh Hòa","Nam Trung Bộ","11.902","109.2207","","","","","Cần theo dõi","20/05/2026 17:50","Thiếu thời tiết: kiểm tra vi_do/kinh_do, geocode, Open-Meteo call và bước ghi gold/current."
"phan_rang","Phan Rang - Tháp Chàm","Ninh Thuận","Nam Trung Bộ","11.5826","108.9912","","","","","Cần theo dõi","20/05/2026 17:50","Thiếu thời tiết: kiểm tra vi_do/kinh_do, geocode, Open-Meteo call và bước ghi gold/current."
"vinh_hy","Vĩnh Hy","Ninh Thuận","Nam Trung Bộ","11.7183","109.19","","","","","Cần theo dõi","20/05/2026 17:50","Thiếu thời tiết: kiểm tra vi_do/kinh_do, geocode, Open-Meteo call và bước ghi gold/current."
"ghenh_da_dia","Gành Đá Đĩa","Phú Yên","Nam Trung Bộ","13.3533","109.293","","","","","Cần theo dõi","20/05/2026 17:50","Thiếu thời tiết: kiểm tra vi_do/kinh_do, geocode, Open-Meteo call và bước ghi gold/current."
"tuy_hoa","Tuy Hòa","Phú Yên","Nam Trung Bộ","13.0955","109.3209","","","","","Cần theo dõi","20/05/2026 17:50","Thiếu thời tiết: kiểm tra vi_do/kinh_do, geocode, Open-Meteo call và bước ghi gold/current."
"ha_tien","Hà Tiên","Kiên Giang","Tây Nam Bộ","10.3831","104.4875","","","","","Cần theo dõi","20/05/2026 17:50","Thiếu thời tiết: kiểm tra vi_do/kinh_do, geocode, Open-Meteo call và bước ghi gold/current."
"co_to","Cô Tô","Quảng Ninh","Đông Bắc","20.9736","107.7657","","","","","Cần theo dõi","20/05/2026 17:50","Thiếu thời tiết: kiểm tra vi_do/kinh_do, geocode, Open-Meteo call và bước ghi gold/current."
"tra_co","Trà Cổ","Quảng Ninh","Đông Bắc","21.4644","108.0142","","","","","Cần theo dõi","20/05/2026 17:50","Thiếu thời tiết: kiểm tra vi_do/kinh_do, geocode, Open-Meteo call và bước ghi gold/current."
"ho_tram","Hồ Tràm","Bà Rịa - Vũng Tàu","Đông Nam Bộ","10.477","107.426","","","","","Cần theo dõi","20/05/2026 17:50","Thiếu thời tiết: kiểm tra vi_do/kinh_do, geocode, Open-Meteo call và bước ghi gold/current."
"can_gio","Cần Giờ","TP Hồ Chí Minh","Đông Nam Bộ","10.4111","106.9547","","","","","Cần theo dõi","20/05/2026 17:50","Thiếu thời tiết: kiểm tra vi_do/kinh_do, geocode, Open-Meteo call và bước ghi gold/current."
"hon_son","Hòn Sơn","Kiên Giang","Đảo Tây Nam Bộ","9.81","104.63","","","","","Cần theo dõi","20/05/2026 17:50","Thiếu thời tiết: kiểm tra vi_do/kinh_do, geocode, Open-Meteo call và bước ghi gold/current."
"nam_du","Nam Du","Kiên Giang","Đảo Tây Nam Bộ","9.684","104.354","","","","","Cần theo dõi","20/05/2026 17:50","Thiếu thời tiết: kiểm tra vi_do/kinh_do, geocode, Open-Meteo call và bước ghi gold/current."
"bac_lieu","Bạc Liêu","Bạc Liêu","Đồng bằng sông Cửu Long","9.294","105.7244","","","","","Cần theo dõi","20/05/2026 17:50","Thiếu thời tiết: kiểm tra vi_do/kinh_do, geocode, Open-Meteo call và bước ghi gold/current."
"ca_mau_dat_mui","Đất Mũi Cà Mau","Cà Mau","Đồng bằng sông Cửu Long","8.6208","104.7314","","","","","Cần theo dõi","20/05/2026 17:50","Thiếu thời tiết: kiểm tra vi_do/kinh_do, geocode, Open-Meteo call và bước ghi gold/current."
"soc_trang","Sóc Trăng","Sóc Trăng","Đồng bằng sông Cửu Long","9.6025","105.9739","","","","","Cần theo dõi","20/05/2026 17:50","Thiếu thời tiết: kiểm tra vi_do/kinh_do, geocode, Open-Meteo call và bước ghi gold/current."
"tra_vinh","Trà Vinh","Trà Vinh","Đồng bằng sông Cửu Long","9.9347","106.3453","","","","","Cần theo dõi","20/05/2026 17:50","Thiếu thời tiết: kiểm tra vi_do/kinh_do, geocode, Open-Meteo call và bước ghi gold/current."
"do_son","Đồ Sơn","Hải Phòng","Đồng bằng sông Hồng","20.7149","106.7894","","","","","Cần theo dõi","20/05/2026 17:50","Thiếu thời tiết: kiểm tra vi_do/kinh_do, geocode, Open-Meteo call và bước ghi gold/current."
"thinh_long","Thịnh Long","Nam Định","Đồng bằng sông Hồng","20.0333","106.2833","","","","","Cần theo dõi","20/05/2026 17:50","Thiếu thời tiết: kiểm tra vi_do/kinh_do, geocode, Open-Meteo call và bước ghi gold/current."
"moc_chau","Moc Chau","Son La","northern_mountains","20.8297","104.6946","22.4","0.0","5.9","97","Không áp dụng","20/05/2026 17:50",""
"ben_tre","Ben Tre","Ben Tre","mekong_delta","10.2434","106.3756","27.4","0.0","4.9","87","Không áp dụng","20/05/2026 17:50",""
"an_giang","An Giang","An Giang","mekong_delta","10.5216","105.1259","28.0","0.0","3.1","80","Không áp dụng","20/05/2026 17:50",""
"can_tho","Can Tho","Can Tho","mekong_delta","10.0452","105.7469","27.0","0.0","5.2","91","Không áp dụng","20/05/2026 17:50",""
"nha_trang","Nha Trang","Khanh Hoa","south_central_coast","12.2388","109.1967","27.7","0.0","4.6","90","Cần theo dõi","20/05/2026 17:50",""
"con_dao","Con Dao","Ba Ria - Vung Tau","southeast_islands","8.6864","106.6082","29.4","0.0","16.9","76","Cần theo dõi","20/05/2026 17:50",""
"sa_pa","Sa Pa","Lao Cai","northern_mountains","22.3364","103.8438","18.4","0.2","7.0","99","Không áp dụng","20/05/2026 17:50",""
"ho_chi_minh_city","Ho Chi Minh City","Ho Chi Minh City","southeast","10.8231","106.6297","27.5","0.0","6.5","91","Không áp dụng","20/05/2026 17:50",""
"da_lat","Da Lat","Lam Dong","central_highlands","11.9404","108.4583","18.1","0.0","5.3","100","Không áp dụng","20/05/2026 17:50",""
